tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
1/27/2020,SABIRA,0,1,0,3
1/28/2020,SABIRA,1,0,17,0
1/29/2020,SABIRA,0,1,0,21
1/30/2020,SABIRA,0,1,0,21
1/31/2020,SABIRA,0,0,0,0
2/1/2020,MUARA ANGKE,16,6,1929,337
2/2/2020,MUARA ANGKE,6,15,264,1708
2/3/2020,MUARA ANGKE,10,6,548,215
2/4/2020,MUARA ANGKE,6,6,276,283
2/5/2020,MUARA ANGKE,7,6,286,353
2/6/2020,MUARA ANGKE,6,7,249,346
2/7/2020,MUARA ANGKE,8,12,368,317
2/8/2020,MUARA ANGKE,16,8,1642,222
2/9/2020,MUARA ANGKE,7,15,586,1650
2/10/2020,MUARA ANGKE,10,7,456,274
2/11/2020,MUARA ANGKE,7,7,378,347
2/12/2020,MUARA ANGKE,7,6,309,384
2/13/2020,MUARA ANGKE,7,7,206,247
2/14/2020,MUARA ANGKE,9,14,458,343
2/15/2020,MUARA ANGKE,16,6,1929,196
2/16/2020,MUARA ANGKE,6,14,316,1879
2/17/2020,MUARA ANGKE,8,3,338,236
2/18/2020,MUARA ANGKE,6,9,275,347
2/19/2020,MUARA ANGKE,8,5,300,214
2/20/2020,MUARA ANGKE,5,8,256,311
2/21/2020,MUARA ANGKE,6,11,347,256
2/22/2020,MUARA ANGKE,18,6,1528,167
2/23/2020,MUARA ANGKE,5,18,180,1539
2/24/2020,MUARA ANGKE,7,4,430,101
2/25/2020,MUARA ANGKE,6,7,124,398
2/26/2020,MUARA ANGKE,7,5,340,213
2/27/2020,MUARA ANGKE,4,7,142,352
2/28/2020,MUARA ANGKE,7,12,426,321
2/29/2020,MUARA ANGKE,18,7,2098,451
2/1/2020,MARINA ANCOL,4,4,376,212
2/2/2020,MARINA ANCOL,3,3,115,220
2/3/2020,MARINA ANCOL,3,3,315,160
2/4/2020,MARINA ANCOL,3,3,133,89
2/5/2020,MARINA ANCOL,3,3,133,36
2/6/2020,MARINA ANCOL,3,3,119,137
2/7/2020,MARINA ANCOL,3,3,118,194
2/8/2020,MARINA ANCOL,4,4,414,379
2/9/2020,MARINA ANCOL,3,3,230,393
2/10/2020,MARINA ANCOL,3,3,165,125
2/11/2020,MARINA ANCOL,3,3,288,136
2/12/2020,MARINA ANCOL,3,3,151,43
2/13/2020,MARINA ANCOL,3,3,251,139
2/14/2020,MARINA ANCOL,4,4,237,410
2/15/2020,MARINA ANCOL,4,4,545,267
2/16/2020,MARINA ANCOL,2,2,140,150
2/17/2020,MARINA ANCOL,3,3,214,110
2/18/2020,MARINA ANCOL,3,3,222,156
2/19/2020,MARINA ANCOL,3,3,163,187
2/20/2020,MARINA ANCOL,4,4,148,177
2/21/2020,MARINA ANCOL,3,3,172,215
2/22/2020,MARINA ANCOL,3,3,361,266
2/23/2020,MARINA ANCOL,3,3,178,359
2/24/2020,MARINA ANCOL,3,3,219,59
2/25/2020,MARINA ANCOL,2,2,154,38
2/26/2020,MARINA ANCOL,3,3,148,130
2/27/2020,MARINA ANCOL,3,3,154,154
2/28/2020,MARINA ANCOL,3,3,169,127
2/29/2020,MARINA ANCOL,3,3,147,124
2/1/2020,UNTUNG JAWA,9,8,90,104
